responseid,starttime,endtime,verbal,direction,condition,consent,check,gender,age,answer,dv,extreme,stock
R_2BzIBzs7ZfyZcgr,3/30/2018 9:49,3/30/2018 9:51,1,0,verbal,1,4,1,32,1,6,0,FII
R_bHmYmqT4WfmfL4B,3/30/2018 11:54,3/30/2018 11:55,1,0,verbal,1,4,1,27,2,6,0,UFS
R_10od3E8KxnAUtf3,3/30/2018 9:30,3/30/2018 9:34,1,0,verbal,1,4,1,29,1,7,0,SCI
R_2ZKZh1psb2rFUzG,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,46,2,8,1,UFS
R_DHHxbTjNdxXzobv,3/30/2018 12:36,3/30/2018 12:38,1,0,verbal,1,4,1,32,2,7,0,RHI
R_11i6zikmbkiDeLC,3/30/2018 13:54,3/30/2018 14:00,1,0,verbal,1,4,1,24,2,8,1,SCI
R_2c0kOkZJqdZhmNa,3/30/2018 9:59,3/30/2018 9:59,1,0,verbal,1,4,1,24,1,5,0,RHI
R_2aPvGKYDHV91otR,3/30/2018 12:00,3/30/2018 12:03,1,0,verbal,1,4,2,57,1,8,1,VET
R_2QFLqpg0Nw4aPUX,3/30/2018 11:35,3/30/2018 11:37,1,0,verbal,1,4,1,49,2,6,0,HEP
R_214Y5PwDlabB8M8,3/30/2018 10:51,3/30/2018 10:53,1,0,verbal,1,4,2,30,2,7,0,LPT
R_32SeEcHQbNbTss0,3/30/2018 12:13,3/30/2018 12:14,1,0,verbal,1,4,1,22,1,6,0,RHI
R_2Ev0Bv5ujcUxw7n,3/30/2018 9:54,3/30/2018 9:55,1,0,verbal,1,4,2,29,2,7,0,CFX
R_24MiHmduiCwL1jr,3/30/2018 13:17,3/30/2018 13:19,1,0,verbal,1,4,2,32,2,8,1,CFX
R_3G1VzSIgx5e2LAK,3/30/2018 11:08,3/30/2018 11:09,1,0,verbal,1,4,1,26,2,6,0,TEP
R_XnyR5e904YXR4Ix,3/30/2018 14:17,3/30/2018 14:19,1,0,verbal,1,4,2,71,2,7,0,TEP
R_XnyR5e904YXR4Ix,3/30/2018 14:17,3/30/2018 14:19,1,0,verbal,1,4,2,71,1,7,0,TEP
R_2zvBLnqkVn4VEgc,3/30/2018 10:00,3/30/2018 10:02,1,0,verbal,1,4,1,67,2,7,0,HEP
R_2R4ly0xOekJ7wtJ,3/30/2018 13:22,3/30/2018 13:23,1,0,verbal,1,4,2,40,1,8,1,CFX
R_3lKSsQJXJpJhngn,3/30/2018 9:40,3/30/2018 9:43,1,0,verbal,1,4,1,33,1,8,1,HEP
R_3MznQPZLDStdfg5,3/30/2018 13:48,3/30/2018 13:49,1,0,verbal,1,4,2,32,1,7,0,CFX
R_6DxQKcuSNU5YVwd,3/30/2018 12:35,3/30/2018 15:23,1,0,verbal,1,4,2,34,1,7,0,FII
R_1pxkgk92qkbkU1C,3/30/2018 12:19,3/30/2018 12:22,1,0,verbal,1,4,2,25,2,8,1,HEP
R_ABsBnOgwT5LDPjz,3/30/2018 10:00,3/30/2018 10:15,1,0,verbal,1,4,1,23,1,8,1,LPT
R_3g7ApcmnUSDyCCC,3/30/2018 9:48,3/30/2018 9:49,1,0,verbal,1,4,2,31,2,6,0,VET
R_26c1n1qPMRVfUFX,3/30/2018 9:46,3/30/2018 9:48,1,0,verbal,1,4,1,27,1,6,0,FII
R_1Kd5qO5JcThEu4p,3/30/2018 14:33,3/30/2018 14:34,1,0,verbal,1,4,2,33,2,9,1,TEP
R_33eEF2ig7O0E9za,3/30/2018 10:28,3/30/2018 10:30,1,0,verbal,1,4,1,40,1,7,0,LPT
R_305IBxFjmbwbrQN,3/30/2018 9:35,3/30/2018 9:38,1,0,verbal,1,4,1,29,2,4,0,VET
R_2y2Wbwsa4Ude7lB,3/30/2018 9:57,3/30/2018 9:58,1,0,verbal,1,4,2,38,2,6,0,TEP
R_3PtQhTrXmf95BiC,3/30/2018 9:38,3/30/2018 9:39,1,0,verbal,1,4,1,35,2,6,0,SCI
R_3HG4tzQBGicSQpW,3/30/2018 9:25,3/30/2018 9:27,1,0,verbal,1,4,1,43,2,5,0,LPT
R_3jTFGZjj0niHS9f,3/30/2018 9:46,3/30/2018 9:48,1,0,verbal,1,4,2,55,1,8,1,HEP
R_W8MMxIZoe5NLNxD,3/30/2018 9:41,3/30/2018 9:45,1,0,verbal,1,4,1,27,1,6,0,CFX
R_3G1VzSIgx5e2LAK,3/30/2018 11:08,3/30/2018 11:09,1,0,verbal,1,4,1,26,1,6,0,TEP
R_3hayPX0KYFTvVcv,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,24,1,5,0,SCI
R_RDlXgnkpqxkALQd,3/30/2018 9:57,3/30/2018 9:58,1,0,verbal,1,4,2,32,2,6,0,GIL
R_2uyzdfgSS7tu09y,3/30/2018 9:38,3/30/2018 9:40,1,0,verbal,1,4,1,69,2,5,0,HEP
R_aWUZtf8qrloXcPf,3/30/2018 9:48,3/30/2018 9:51,1,0,verbal,1,4,2,42,2,7,0,CFX
R_psnh5sStbgBCn6N,3/30/2018 9:26,3/30/2018 9:28,1,0,verbal,1,4,1,48,2,8,1,UFS
R_Xt6UaEekERIYagp,3/30/2018 9:31,3/30/2018 9:34,1,0,verbal,1,4,2,54,1,6,0,FII
R_2ipjVOLj5hail1v,3/30/2018 9:58,3/30/2018 9:58,1,0,verbal,1,4,1,27,2,5,0,HEP
R_3HB858UJSLuX2a2,3/30/2018 9:27,3/30/2018 10:38,1,0,verbal,1,4,1,59,2,6,0,RHI
R_1FqUZvNZ3KHNVFs,3/30/2018 14:13,3/30/2018 14:15,1,0,verbal,1,4,1,41,2,7,0,FII
R_2ipjVOLj5hail1v,3/30/2018 9:58,3/30/2018 9:58,1,0,verbal,1,4,1,27,1,6,0,HEP
R_sLNeBOCev7lmACt,3/30/2018 9:44,3/30/2018 9:49,1,0,verbal,1,4,2,31,2,7,0,LPT
R_2sZ0znC1DFN3jgg,3/30/2018 11:34,3/30/2018 11:37,1,0,verbal,1,4,1,30,2,4,0,RHI
R_1IKGwDSJuOU4BbL,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,1,29,2,7,0,UFS
R_2aIV7RaHQTNVd8e,3/30/2018 11:40,3/30/2018 11:42,1,0,verbal,1,4,2,40,2,7,0,VET
R_1GBaav9nUfj4ugq,3/30/2018 9:35,3/30/2018 9:37,1,0,verbal,1,4,2,43,1,2,0,RHI
R_5jP5rwgU9mU1xRf,3/30/2018 11:06,3/30/2018 11:06,1,0,verbal,1,4,,,2,,,RHI
R_32PXChRYgsMAVDX,3/30/2018 11:48,3/30/2018 11:50,1,0,verbal,1,4,1,53,2,9,1,RHI
R_1RnNFE8yw1PjrHj,3/30/2018 12:53,3/30/2018 12:59,1,0,verbal,1,4,1,29,2,8,1,TEP
R_3g7wHGI7nPDEEzh,3/30/2018 9:27,3/30/2018 9:28,1,0,verbal,1,4,2,40,1,8,1,UFS
R_2wt6i21tkz3R6Lp,3/30/2018 9:37,3/30/2018 9:39,1,0,verbal,1,4,2,68,1,7,0,VET
R_2rOzLMimFMR9o8L,3/30/2018 9:24,3/30/2018 9:28,1,0,verbal,1,4,1,33,1,7,0,HEP
R_1nUDDbmahVMuKr3,3/30/2018 9:24,3/30/2018 9:26,1,0,verbal,1,4,2,31,1,8,1,SCI
R_1NqYSbMALEQOGc9,3/30/2018 9:30,3/30/2018 9:37,1,0,verbal,1,4,1,28,1,6,0,GIL
R_UK2XAOxYxzC40SJ,3/30/2018 13:58,3/30/2018 13:59,1,0,verbal,1,4,1,56,1,6,0,TEP
R_DHHxbTjNdxXzobv,3/30/2018 12:36,3/30/2018 12:38,1,0,verbal,1,4,1,32,1,7,0,RHI
R_2uyzdfgSS7tu09y,3/30/2018 9:38,3/30/2018 9:40,1,0,verbal,1,4,1,69,1,4,0,HEP
R_1MQEcNjm8GAYriG,3/30/2018 9:38,3/30/2018 9:40,1,0,verbal,1,4,1,29,1,6,0,LPT
R_qIQvNXaSQzVNrq1,3/30/2018 9:36,3/30/2018 9:37,1,0,verbal,1,4,2,27,1,6,0,FII
R_5jP5rwgU9mU1xRf,3/30/2018 11:06,3/30/2018 11:06,1,0,verbal,1,4,,,1,6,0,RHI
R_2YhrpVdmaEy7PTw,3/30/2018 10:06,3/30/2018 10:10,1,0,verbal,1,4,2,60,2,7,0,LPT
R_1FtUpC6wpQrsdcA,3/30/2018 9:35,3/30/2018 9:37,1,0,verbal,1,4,1,22,2,8,1,TEP
R_1q9ErEkMzXqNp1N,3/30/2018 9:43,3/30/2018 9:46,1,0,verbal,1,4,2,33,1,8,1,LPT
R_2xKMo6b2eutQsgs,3/30/2018 11:03,3/30/2018 11:05,1,0,verbal,1,4,2,34,1,6,0,VET
R_1LS8dsItS1s7jL4,3/30/2018 14:22,3/30/2018 14:25,1,0,verbal,1,4,2,48,2,6,0,FII
R_1DARv00IwGTdq2I,3/30/2018 10:49,3/30/2018 10:52,1,0,verbal,1,4,2,39,1,8,1,TEP
R_1IA6OgPt5XgXEVs,3/30/2018 10:17,3/30/2018 10:18,1,0,verbal,1,4,2,25,2,7,0,UFS
R_22RJpv37n54imWZ,3/30/2018 11:00,3/30/2018 11:01,1,0,verbal,1,4,2,26,2,7,0,TEP
R_32PcVxKzFZc03tE,3/30/2018 9:42,3/30/2018 9:44,1,0,verbal,1,4,2,43,2,7,0,HEP
R_2ds73VCwpdtoqrt,3/30/2018 13:21,3/30/2018 13:22,1,0,verbal,1,4,1,32,2,6,0,RHI
R_1qVft1cdnnZuy6E,3/30/2018 10:38,3/30/2018 10:39,1,0,verbal,1,4,1,30,2,7,0,CFX
R_3NPXqkH41hztWxe,3/30/2018 10:29,3/30/2018 10:31,1,0,verbal,1,4,1,45,2,6,0,FII
R_32PcVxKzFZc03tE,3/30/2018 9:42,3/30/2018 9:44,1,0,verbal,1,4,2,43,1,6,0,HEP
R_1rcCMNorG4AoMgM,3/30/2018 10:58,3/30/2018 11:00,1,0,verbal,1,4,1,64,1,8,1,VET
R_1rcCMNorG4AoMgM,3/30/2018 10:58,3/30/2018 11:00,1,0,verbal,1,4,1,64,2,8,1,VET
R_ROAM1sVVA6VCB6V,3/30/2018 13:13,3/30/2018 13:15,1,0,verbal,1,4,2,58,1,6,0,VET
R_1F9UyY4ZLDO40lU,3/30/2018 9:29,3/30/2018 9:38,1,0,verbal,1,4,2,42,1,7,0,TEP
R_RK8ktA7M2oca8dH,3/30/2018 9:57,3/30/2018 9:59,1,0,verbal,1,4,1,30,2,6,0,GIL
R_2ZZxhRCLKEq4LbI,3/30/2018 9:50,3/30/2018 9:51,1,0,verbal,1,4,3,33,2,7,0,SCI
R_3oRCzM6yrHUNOQ7,3/30/2018 14:22,3/30/2018 14:24,1,0,verbal,1,4,2,37,2,8,1,SCI
R_RDlXgnkpqxkALQd,3/30/2018 9:57,3/30/2018 9:58,1,0,verbal,1,4,2,32,1,6,0,GIL
R_qD6YxMiTzMUEC1b,3/30/2018 10:19,3/30/2018 10:31,1,0,verbal,1,4,1,31,2,8,1,SCI
R_3QE0UTgmoxypuj1,3/30/2018 11:19,3/30/2018 11:22,1,0,verbal,1,4,2,67,1,6,0,CFX
R_29nx9hvKVFaRN5F,3/30/2018 9:41,3/30/2018 9:48,1,0,verbal,1,4,2,30,2,7,0,FII
R_1NqYSbMALEQOGc9,3/30/2018 9:30,3/30/2018 9:37,1,0,verbal,1,4,1,28,2,6,0,GIL
R_1oGteYVajkvY8vE,3/30/2018 11:12,3/30/2018 11:14,1,0,verbal,1,4,2,30,2,8,1,FII
R_1q9ErEkMzXqNp1N,3/30/2018 9:43,3/30/2018 9:46,1,0,verbal,1,4,2,33,2,8,1,LPT
R_1IA6OgPt5XgXEVs,3/30/2018 10:17,3/30/2018 10:18,1,0,verbal,1,4,2,25,1,8,1,UFS
R_T6D4Hya5pvkOQ8h,3/30/2018 10:03,3/30/2018 10:05,1,0,verbal,1,4,1,30,1,7,0,GIL
R_Cag3zVXHuuwIT2F,3/30/2018 14:19,3/30/2018 14:20,1,0,verbal,1,4,2,33,1,7,0,RHI
R_2aIV7RaHQTNVd8e,3/30/2018 11:40,3/30/2018 11:42,1,0,verbal,1,4,2,40,1,7,0,VET
R_bHmYmqT4WfmfL4B,3/30/2018 11:54,3/30/2018 11:55,1,0,verbal,1,4,1,27,1,6,0,UFS
R_4JbdMzFSG1vbiJX,3/30/2018 13:54,3/30/2018 13:56,1,0,verbal,1,4,2,37,1,6,0,GIL
R_2f1JLrfrVzsZHeJ,3/30/2018 10:47,3/30/2018 10:49,1,0,verbal,1,4,2,58,1,6,0,RHI
R_6VCdYcA9INRfSud,3/30/2018 12:45,3/30/2018 12:48,1,0,verbal,1,4,2,52,2,7,0,GIL
R_3hxUOVBmiQ62QUf,3/30/2018 10:57,3/30/2018 11:01,1,0,verbal,1,4,1,25,1,6,0,HEP
R_1r7wjux82wWkDHE,3/30/2018 11:37,3/30/2018 11:39,1,0,verbal,1,4,1,35,2,7,0,SCI
R_1M5NDNEPt2irBkw,3/30/2018 9:53,3/30/2018 10:05,1,0,verbal,1,4,1,51,1,6,0,LPT
R_2eQLpJCKjk0x9WS,3/30/2018 10:41,3/30/2018 10:43,1,0,verbal,1,4,1,42,2,7,0,HEP
R_1OCrsRiw6NwbphJ,3/30/2018 11:42,3/30/2018 11:44,1,0,verbal,1,4,2,59,2,9,1,LPT
R_3kcFvYb6gz6YJYg,3/30/2018 10:44,3/30/2018 10:45,1,0,verbal,1,4,1,42,2,7,0,TEP
R_33rMVrVruNr0TOT,3/30/2018 12:05,3/30/2018 12:07,1,0,verbal,1,4,1,22,2,8,1,RHI
R_11i6zikmbkiDeLC,3/30/2018 13:54,3/30/2018 14:00,1,0,verbal,1,4,1,24,1,7,0,SCI
R_1r7wjux82wWkDHE,3/30/2018 11:37,3/30/2018 11:39,1,0,verbal,1,4,1,35,1,7,0,SCI
R_1F9UyY4ZLDO40lU,3/30/2018 9:29,3/30/2018 9:38,1,0,verbal,1,4,2,42,2,8,1,TEP
R_2dTlnQOuvzdPEii,3/30/2018 10:16,3/30/2018 10:18,1,0,verbal,1,4,2,25,2,8,1,TEP
R_2dTlnQOuvzdPEii,3/30/2018 10:16,3/30/2018 10:18,1,0,verbal,1,4,2,25,1,7,0,TEP
R_1MQEcNjm8GAYriG,3/30/2018 9:38,3/30/2018 9:40,1,0,verbal,1,4,1,29,2,6,0,LPT
R_1nUDDbmahVMuKr3,3/30/2018 9:24,3/30/2018 9:26,1,0,verbal,1,4,2,31,2,9,1,SCI
R_29nx9hvKVFaRN5F,3/30/2018 9:41,3/30/2018 9:48,1,0,verbal,1,4,2,30,1,7,0,FII
R_2eQ0KDmV5zlnCp0,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,1,25,1,6,0,TEP
R_1KoM9SvATWvamy3,3/30/2018 9:50,3/30/2018 9:52,1,0,verbal,1,4,2,71,2,7,0,GIL
R_ROAM1sVVA6VCB6V,3/30/2018 13:13,3/30/2018 13:15,1,0,verbal,1,4,2,58,2,7,0,VET
R_xroQjfnzTs6HUMp,3/30/2018 13:27,3/30/2018 13:28,1,0,verbal,1,4,2,33,1,5,0,RHI
R_A7lvOjyFWl3ayrf,3/30/2018 11:46,3/30/2018 11:51,1,0,verbal,1,4,2,52,2,8,1,GIL
R_VVISfLWCuTEK2vD,3/30/2018 11:11,3/30/2018 11:12,1,0,verbal,1,4,1,26,2,6,0,VET
R_3shmz0y3Yhyk0qE,3/30/2018 9:52,3/30/2018 9:54,1,0,verbal,1,4,1,61,2,8,1,SCI
R_ugAXvxEga5yLqqB,3/30/2018 10:54,3/30/2018 10:56,1,0,verbal,1,4,2,23,1,8,1,SCI
R_2R4ly0xOekJ7wtJ,3/30/2018 13:22,3/30/2018 13:23,1,0,verbal,1,4,2,40,2,8,1,CFX
R_3j9cZqqkMwcRymC,3/30/2018 10:04,3/30/2018 10:06,1,0,verbal,1,4,1,30,1,9,1,SCI
R_2dG4pDnKmI512R4,3/30/2018 9:40,3/30/2018 9:42,1,0,verbal,1,4,2,33,2,6,0,LPT
R_3MznQPZLDStdfg5,3/30/2018 13:48,3/30/2018 13:49,1,0,verbal,1,4,2,32,2,6,0,CFX
R_3ewULwxPyByRSx9,3/30/2018 14:26,3/30/2018 14:27,1,0,verbal,1,4,1,46,2,7,0,CFX
R_6VCdYcA9INRfSud,3/30/2018 12:45,3/30/2018 12:48,1,0,verbal,1,4,2,52,1,6,0,GIL
R_3njwLmFQiSJkSqm,3/30/2018 9:32,3/30/2018 9:34,1,0,verbal,1,4,2,34,1,8,1,VET
R_1hDQWhRH9XJXk0U,3/30/2018 13:32,3/30/2018 13:40,1,0,verbal,1,4,2,65,1,6,0,UFS
R_28TFfCy3oiicsWG,3/30/2018 14:42,3/30/2018 14:43,1,0,verbal,1,4,2,26,1,3,0,SCI
R_2c0kOkZJqdZhmNa,3/30/2018 9:59,3/30/2018 9:59,1,0,verbal,1,4,1,24,2,6,0,RHI
R_1nOBbBRYvHG9wXA,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,2,24,1,6,0,LPT
R_5BTIVl1b1Vn6AwN,3/30/2018 9:37,3/30/2018 9:38,1,0,verbal,1,4,2,31,1,8,1,GIL
R_3huzNOxk5eOwK3o,3/30/2018 10:24,3/30/2018 10:26,1,0,verbal,1,4,1,30,2,7,0,TEP
R_emq3MHE6bhooFqh,3/30/2018 10:18,3/30/2018 10:19,1,0,verbal,1,4,1,28,1,6,0,VET
R_BEOdjTcdqWfIWSl,3/30/2018 11:17,3/30/2018 11:19,1,0,verbal,1,4,1,29,1,7,0,VET
R_3ERwCF3hcCa6pJI,3/30/2018 13:37,3/30/2018 13:38,1,0,verbal,1,4,2,24,1,8,1,FII
R_Cag3zVXHuuwIT2F,3/30/2018 14:19,3/30/2018 14:20,1,0,verbal,1,4,2,33,2,7,0,RHI
R_ZL8t2VxKqtE2yPL,3/30/2018 12:06,3/30/2018 12:08,1,0,verbal,1,4,1,26,1,7,0,FII
R_22RJpv37n54imWZ,3/30/2018 11:00,3/30/2018 11:01,1,0,verbal,1,4,2,26,1,7,0,TEP
R_3gZ4blH2IBpClpW,3/30/2018 11:52,3/30/2018 11:53,1,0,verbal,1,4,2,31,1,6,0,TEP
R_Df92w2WCRXm6893,3/30/2018 11:02,3/30/2018 11:03,1,0,verbal,1,4,1,24,1,6,0,GIL
R_1DARv00IwGTdq2I,3/30/2018 10:49,3/30/2018 10:52,1,0,verbal,1,4,2,39,2,8,1,TEP
R_1M5NDNEPt2irBkw,3/30/2018 9:53,3/30/2018 10:05,1,0,verbal,1,4,1,51,2,7,0,LPT
R_2ZZxhRCLKEq4LbI,3/30/2018 9:50,3/30/2018 9:51,1,0,verbal,1,4,3,33,1,6,0,SCI
R_ekw1FtuSFuqafXb,3/30/2018 9:26,3/30/2018 9:27,1,0,verbal,1,4,1,50,1,7,0,TEP
R_3iEc0hth1yEqueu,3/30/2018 11:25,3/30/2018 11:26,1,0,verbal,1,4,1,22,2,5,0,UFS
R_1jAKQ3IHDtRIgQd,3/30/2018 11:14,3/30/2018 11:17,1,0,verbal,1,4,1,45,2,7,0,CFX
R_2TRE8RU6m5qvQmY,3/30/2018 12:58,3/30/2018 13:00,1,0,verbal,1,4,2,49,1,6,0,UFS
R_7ZGXXPvlNPBP693,3/30/2018 11:14,3/30/2018 11:16,1,0,verbal,1,4,1,41,2,7,0,SCI
R_1dlQesffI02PisH,3/30/2018 10:02,3/30/2018 10:03,1,0,verbal,1,4,1,69,2,9,1,LPT
R_WeZt2VDvT9xHPjz,3/30/2018 9:33,3/30/2018 9:35,1,0,verbal,1,4,2,40,2,8,1,HEP
R_10UvdMFIHafNq04,3/30/2018 13:06,3/30/2018 13:09,1,0,verbal,1,4,2,57,1,6,0,RHI
R_3nTxpExAtda93fG,3/30/2018 10:35,3/30/2018 10:44,1,0,verbal,1,4,2,43,1,8,1,GIL
R_1OTacndhGJyY44E,3/30/2018 12:22,3/30/2018 12:23,1,0,verbal,1,4,1,28,1,7,0,LPT
R_9XIGeVdsrqXfJoB,3/30/2018 11:21,3/30/2018 11:26,1,0,verbal,1,4,1,37,1,7,0,TEP
R_3ewULwxPyByRSx9,3/30/2018 14:26,3/30/2018 14:27,1,0,verbal,1,4,1,46,1,6,0,CFX
R_3QE0UTgmoxypuj1,3/30/2018 11:19,3/30/2018 11:22,1,0,verbal,1,4,2,67,2,7,0,CFX
R_1Ii9063pKWgs4Z1,3/30/2018 14:09,3/30/2018 14:10,1,0,verbal,1,4,2,28,2,7,0,VET
R_1LAMPGeYwdRxdIP,3/30/2018 13:23,3/30/2018 13:25,1,0,verbal,1,4,1,35,1,6,0,FII
R_3huzNOxk5eOwK3o,3/30/2018 10:24,3/30/2018 10:26,1,0,verbal,1,4,1,30,1,6,0,TEP
R_3j9cZqqkMwcRymC,3/30/2018 10:04,3/30/2018 10:06,1,0,verbal,1,4,1,30,2,9,1,SCI
R_1Ij8u8iUVFvXJAI,3/30/2018 14:28,3/30/2018 14:28,1,0,verbal,1,4,1,24,2,4,0,GIL
R_1Pcxxxnu2SFfcLQ,3/30/2018 9:34,3/30/2018 9:37,1,0,verbal,1,4,1,51,1,6,0,HEP
R_3HG4tzQBGicSQpW,3/30/2018 9:25,3/30/2018 9:27,1,0,verbal,1,4,1,43,1,5,0,LPT
R_1NDmS1yXKnl9Wf5,3/30/2018 9:55,3/30/2018 9:56,1,0,verbal,1,4,1,22,2,7,0,CFX
R_tYblQ4sfdvqMpJn,3/30/2018 12:54,3/30/2018 12:56,1,0,verbal,1,4,1,54,2,8,1,RHI
R_AizO0lRiN0jtc2J,3/30/2018 9:47,3/30/2018 9:49,1,0,verbal,1,4,1,52,2,7,0,LPT
R_d5xITJLSLGDzIsh,3/30/2018 9:51,3/30/2018 9:55,1,0,verbal,1,4,2,70,1,8,1,SCI
R_aaTFWXPqAHRbvlT,3/30/2018 10:55,3/30/2018 11:00,1,0,verbal,1,4,2,42,1,8,1,UFS
R_3nTxpExAtda93fG,3/30/2018 10:35,3/30/2018 10:44,1,0,verbal,1,4,2,43,2,8,1,GIL
R_2Pu1XJz6suRyIE8,3/30/2018 9:36,3/30/2018 9:38,1,0,verbal,1,4,1,29,1,6,0,SCI
R_WeZt2VDvT9xHPjz,3/30/2018 9:33,3/30/2018 9:35,1,0,verbal,1,4,2,40,1,7,0,HEP
R_1LS8dsItS1s7jL4,3/30/2018 14:22,3/30/2018 14:25,1,0,verbal,1,4,2,48,1,3,0,FII
R_2Ym75E6fvDQuKjN,3/30/2018 13:10,3/30/2018 13:11,1,0,verbal,1,4,1,35,2,7,0,FII
R_2QFLqpg0Nw4aPUX,3/30/2018 11:35,3/30/2018 11:37,1,0,verbal,1,4,1,49,1,6,0,HEP
R_1mJIE2N5g57WwXH,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,35,1,8,1,RHI
R_1GlLcNk7TOEP9KN,3/30/2018 13:50,3/30/2018 13:52,1,0,verbal,1,4,2,35,2,7,0,SCI
R_eCGsJsvyMY8wc0N,3/30/2018 13:03,3/30/2018 13:05,1,0,verbal,1,4,1,34,1,6,0,FII
R_1pxkgk92qkbkU1C,3/30/2018 12:19,3/30/2018 12:22,1,0,verbal,1,4,2,25,1,7,0,HEP
R_2R8kTRqe9gYuMlz,3/30/2018 11:10,3/30/2018 11:19,1,0,verbal,1,4,2,34,1,7,0,LPT
R_2R8kTRqe9gYuMlz,3/30/2018 11:10,3/30/2018 11:19,1,0,verbal,1,4,2,34,2,8,1,LPT
R_3e2mCvWpIAc1X82,3/30/2018 13:41,3/30/2018 13:44,1,0,verbal,1,4,2,43,2,8,1,GIL
R_3NPXqkH41hztWxe,3/30/2018 10:29,3/30/2018 10:31,1,0,verbal,1,4,1,45,1,6,0,FII
R_2wnv6Ev7N4eIIzv,3/30/2018 10:10,3/30/2018 10:13,1,0,verbal,1,4,1,28,2,9,1,RHI
R_xroQjfnzTs6HUMp,3/30/2018 13:27,3/30/2018 13:28,1,0,verbal,1,4,2,33,2,5,0,RHI
R_viU7l74PrF3eg9j,3/30/2018 10:32,3/30/2018 10:34,1,0,verbal,1,4,2,47,2,7,0,HEP
